Age,Gender,StudyHours,SleepHours,ReviewCenter,MockExamScore,GPA,Scholarship,InternshipGrade,IncomeLevel,EmploymentStatus,Confidence,TestAnxiety,EnglishProficiency,MotivationScore,SocialSupport,ExamResultPercent,Passed
21,Female,5,7,1,,2.0,1,1.5,Low,Skilled,9,6,5,7,5,81.8,1
24,Male,8,6,1,,2.0,1,1.0,Low,Skilled,6,10,5,9,5,77.7,1
22,Female,8,6,1,,1.5,1,1.0,High,Skilled,7,8,8,8,6,76.2,1
22,Male,2,7,1,87.0,1.75,0,1.75,Low,Skilled,9,8,6,4,7,74.1,1
22,Female,5,6,1,72.0,2.25,1,1.5,Low,Skilled,5,10,8,9,8,74.8,1
22,Female,10,6,1,,1.5,1,1.0,Low,Skilled,4,7,7,8,6,80.4,1
23,Female,5,7,1,,1.75,1,2.25,Low,Skilled,10,5,8,8,8,79.2,1
23,Male,5,6,0,,1.25,0,2.25,Low,Skilled,9,5,6,7,5,75.8,1
24,Female,4,6,1,72.0,1.75,0,1.75,Low,Unemployed,7,9,8,7,6,71.9,1
24,Female,5,5,1,80.0,1.75,0,1.0,Low,Skilled,7,5,6,4,9,78.4,1
23,Female,4,7,1,,1.5,0,1.0,Low,Skilled,6,7,6,10,10,81.4,1
23,Female,4,6,1,82.0,1.75,1,2.0,Low,Skilled,9,10,6,4,8,74.6,1
21,Female,3,6,1,,1.25,1,2.0,Low,Unemployed,5,7,8,9,6,78.4,1
24,Female,3,6,0,,1.75,0,2.25,Middle,Unemployed,8,7,8,6,10,74.1,1
23,Male,4,7,0,,1.75,0,1.0,Low,Skilled,6,6,7,8,7,76.2,1
22,Female,6,7,1,68.0,2.25,0,1.25,Low,Skilled,7,6,7,9,10,73.5,1
22,Female,3,8,1,82.0,1.75,0,1.5,Low,Skilled,6,10,5,9,10,78.8,1
24,Female,4,8,1,79.0,1.25,0,2.0,Low,Skilled,8,6,7,10,10,77.1,1
22,Female,5,9,1,82.0,1.25,0,1.5,Low,Professional,10,8,7,3,7,73.2,1
22,Female,5,8,1,,1.75,0,1.0,Low,Skilled,7,3,7,9,8,73.0,1
22,Female,5,8,1,,1.75,0,2.0,Low,Professional,8,6,8,8,7,78.0,1
23,Male,4,7,1,,2.5,1,2.0,Low,Skilled,5,7,9,10,6,76.2,1
26,Female,7,7,1,73.0,1.5,0,1.5,Low,Skilled,7,5,8,6,7,75.3,1
21,Female,10,6,1,73.0,2.0,0,1.75,Middle,Skilled,8,9,9,8,8,80.7,1
21,Male,9,7,1,70.0,1.75,0,2.5,Middle,Skilled,9,8,10,10,7,78.8,1
22,Female,7,8,1,,2.0,0,1.25,Low,Skilled,7,10,5,7,7,76.2,1
22,Female,8,6,0,,2.5,1,1.0,Low,Professional,8,9,6,8,6,75.7,1
24,Female,4,8,1,,1.75,0,2.25,Low,Skilled,7,7,7,9,5,75.4,1
23,Female,2,9,1,,1.5,0,1.75,High,Professional,6,1,4,8,5,73.0,1
23,Female,6,7,1,71.0,1.25,0,2.5,Low,Skilled,6,3,9,10,5,75.3,1
21,Male,9,5,1,,1.75,1,2.25,Low,Skilled,6,10,7,9,5,78.4,1
22,Female,6,6,1,74.0,2.0,0,1.0,Low,Skilled,7,8,10,8,7,80.7,1
23,Female,8,6,0,,1.75,1,2.25,Low,Skilled,7,10,7,8,8,77.5,1
23,Female,5,5,0,,1.75,0,2.0,Low,Skilled,8,5,6,3,9,74.2,1
22,Female,5,6,1,67.0,2.0,1,2.25,Low,Skilled,4,3,9,9,9,76.6,1
24,Male,5,6,0,,1.75,0,1.0,Low,Skilled,7,9,7,6,9,76.6,1
23,Male,8,5,0,,1.25,0,1.75,Low,Skilled,6,1,7,7,9,78.0,1
22,Female,3,6,1,,2.0,0,2.0,Middle,Skilled,6,8,6,8,8,72.6,1
21,Female,5,5,0,,1.75,0,1.0,Low,Skilled,7,2,4,10,6,75.9,1
25,Female,6,9,1,78.0,1.5,0,1.25,Low,Professional,7,1,6,7,9,73.5,1
24,Female,7,8,1,77.0,2.0,0,1.0,Low,Skilled,7,8,7,7,6,75.2,1
23,Male,8,7,0,,1.75,1,1.25,Low,Skilled,6,4,4,8,3,74.0,1
25,Female,3,8,1,,1.75,1,1.75,Low,Skilled,6,6,9,9,8,77.4,1
22,Male,10,5,0,,1.75,0,2.5,Low,Unemployed,9,7,7,7,7,81.8,1
21,Male,8,8,1,,1.25,0,2.0,Middle,Skilled,10,6,7,8,8,79.5,1
23,Female,5,8,0,,1.5,0,2.25,High,Skilled,10,6,8,6,8,75.5,1
23,Male,2,6,1,,1.75,1,2.25,Low,Unemployed,4,4,10,5,7,75.2,1
23,Male,6,6,1,,1.5,0,1.5,Low,Skilled,5,9,8,9,10,81.8,1
25,Female,6,5,1,69.0,2.0,0,1.5,Low,Skilled,5,10,9,7,9,75.9,1
21,Female,5,6,1,,1.5,1,1.5,Low,Skilled,7,10,6,8,5,75.9,1
24,Female,4,8,1,67.0,1.25,0,1.0,Middle,Skilled,5,4,8,8,7,76.3,1
23,Female,3,8,1,,1.75,0,2.0,Low,Skilled,8,9,9,8,10,78.9,1
22,Male,5,6,1,77.0,1.5,0,1.0,Low,Skilled,9,9,8,7,7,78.0,1
22,Female,4,7,1,87.0,2.0,0,2.0,Middle,Skilled,4,2,6,5,10,77.2,1
23,Male,5,9,1,76.0,2.0,0,2.25,High,Skilled,8,3,6,10,3,76.7,1
21,Male,7,6,1,86.0,1.5,1,1.0,Middle,Professional,6,9,8,8,5,80.6,1
21,Male,8,4,1,,1.75,0,1.0,Low,Skilled,7,8,8,9,8,76.5,1
23,Male,7,6,1,67.0,1.5,1,1.5,Low,Skilled,5,4,10,10,8,74.6,1
22,Female,10,10,1,,2.0,0,1.75,Low,Professional,7,8,8,6,10,74.8,1
21,Female,6,6,0,,1.5,0,2.0,Middle,Skilled,8,5,8,7,7,79.6,1
22,Female,6,6,0,,2.0,1,1.75,Low,Skilled,7,6,7,9,4,79.3,1
24,Female,4,7,1,75.0,2.0,1,2.0,Low,Skilled,7,8,4,8,6,76.3,1
23,Male,5,8,1,83.0,1.5,0,1.75,Low,Unemployed,8,6,6,8,9,76.3,1
23,Female,7,7,1,76.0,1.5,1,1.75,Low,Skilled,7,2,10,10,4,76.6,1
23,Female,2,8,0,,2.5,0,1.75,High,Skilled,8,10,5,10,5,74.2,1
22,Female,4,10,1,75.0,1.75,1,1.25,Low,Skilled,8,9,6,10,10,75.9,1
23,Male,7,5,1,82.0,1.25,0,1.0,Low,Skilled,8,7,9,6,5,81.8,1
22,Male,9,6,1,,2.25,0,2.0,Low,Skilled,10,4,7,8,2,75.7,1
23,Female,8,7,1,62.0,1.75,1,1.0,Low,Skilled,7,3,6,10,8,76.8,1
24,Female,2,7,1,70.0,1.25,1,2.25,Low,Skilled,10,4,7,9,5,74.0,1
22,Female,3,8,1,71.0,1.25,1,1.75,Middle,Unemployed,10,9,8,10,9,75.8,1
22,Female,5,6,1,80.0,2.0,0,1.25,Low,Skilled,10,6,7,8,8,77.7,1
24,Female,3,7,1,,1.75,0,1.0,Low,Skilled,4,5,6,7,9,76.2,1
23,Male,4,7,1,,2.25,1,2.0,Low,Skilled,10,2,5,6,9,75.9,1
22,Female,4,7,0,,2.0,1,1.0,Low,Skilled,8,5,6,9,9,79.0,1
21,Female,7,6,0,,1.5,0,1.75,Low,Skilled,7,6,8,7,6,78.5,1
23,Female,4,9,1,,1.5,0,1.5,Low,Skilled,10,10,7,9,8,76.6,1
23,Female,5,8,1,75.0,1.75,1,1.5,Middle,Skilled,7,8,9,8,9,75.4,1
23,Female,5,6,0,,1.25,0,1.5,Low,Skilled,7,5,4,8,8,75.8,1
22,Male,7,7,1,,1.75,1,2.25,Low,Skilled,6,2,6,10,6,76.0,1
23,Female,5,9,1,76.0,1.5,1,2.0,Low,Unemployed,10,6,7,10,3,75.2,1
22,Female,5,7,1,77.0,1.75,1,1.25,Low,Skilled,4,7,6,7,6,78.0,1
23,Female,2,7,1,79.0,1.75,1,1.0,Low,Skilled,5,4,7,6,8,73.8,1
22,Female,6,8,1,81.0,1.75,0,1.0,High,Skilled,10,1,4,5,10,78.1,1
21,Female,6,6,1,68.0,1.75,1,1.5,Low,Skilled,6,2,4,9,7,74.1,1
24,Female,7,6,0,,1.75,0,1.0,Middle,Skilled,9,10,5,6,9,79.6,1
22,Female,5,7,1,72.0,1.5,1,1.75,Middle,Unemployed,5,9,6,9,4,78.9,1
23,Female,3,7,1,,1.25,0,2.0,Low,Skilled,10,8,5,7,7,78.0,1
23,Female,3,6,1,60.0,1.75,1,1.5,Low,Skilled,5,1,6,8,5,76.3,1
22,Male,8,8,1,74.0,1.5,0,1.75,Low,Skilled,10,9,7,9,5,80.7,1
23,Female,4,8,1,70.0,1.75,0,1.0,Low,Skilled,10,8,6,7,8,73.8,1
25,Female,4,7,1,,1.5,0,1.75,Low,Skilled,4,7,9,8,6,78.3,1
23,Female,3,6,1,,1.75,0,1.75,High,Skilled,4,2,6,8,4,75.0,1
24,Female,1,6,1,71.0,1.5,1,2.0,Low,Skilled,9,6,7,8,7,74.0,1
22,Female,6,7,0,,1.25,0,1.5,Middle,Professional,8,2,7,7,7,75.6,1
23,Female,3,7,1,77.0,1.25,0,2.25,Low,Unemployed,9,5,8,10,8,76.4,1
25,Female,6,6,1,,1.25,1,1.0,Low,Unemployed,7,7,6,6,9,76.1,1
23,Female,4,7,0,,1.5,0,2.0,Low,Skilled,8,4,5,10,7,72.2,1
22,Male,7,8,1,73.0,1.5,0,2.25,Low,Professional,10,9,8,10,9,76.9,1
22,Female,6,9,1,,1.75,0,1.0,Low,Unemployed,9,9,8,10,8,74.4,1
21,Male,5,7,1,,1.75,0,2.0,Low,Unemployed,7,3,5,10,6,77.8,1
22,Male,5,6,1,72.0,1.75,0,2.25,Low,Skilled,8,1,8,10,5,76.3,1
25,Female,6,7,0,,1.75,0,1.5,Low,Skilled,7,3,7,7,10,74.1,1
24,Male,4,9,0,,1.5,0,1.5,Low,Skilled,10,5,6,9,4,72.7,1
21,Male,5,6,1,72.0,1.75,1,1.0,Low,Skilled,6,10,7,6,5,78.5,1
24,Female,8,7,1,68.0,1.75,0,1.75,Low,Skilled,7,8,10,10,7,75.0,1
22,Female,7,7,1,74.0,1.5,0,1.75,Low,Professional,7,9,6,8,10,75.0,1
22,Male,4,6,0,,1.5,1,2.25,Low,Skilled,6,6,7,8,5,76.7,1
25,Female,8,6,1,70.0,1.25,0,1.75,Middle,Unemployed,6,8,10,9,5,80.3,1
23,Male,7,9,1,,1.75,0,2.0,Low,Unemployed,8,3,8,10,7,73.7,1
24,Female,7,7,1,85.0,1.75,1,1.5,Low,Skilled,6,9,7,7,6,76.0,1
21,Female,6,6,0,,1.75,1,1.0,Middle,Skilled,7,7,6,9,7,75.8,1
21,Female,7,6,0,,1.75,1,1.0,Low,Skilled,7,8,5,10,7,77.0,1
21,Female,8,5,0,,1.5,0,2.25,Low,Skilled,6,10,5,8,8,78.7,1
21,Female,9,6,1,71.0,1.75,1,2.0,Low,Skilled,9,7,7,10,8,76.8,1
23,Female,4,6,1,,2.25,0,1.75,Low,Skilled,6,3,7,10,8,77.6,1
23,Male,6,6,0,,1.75,1,1.5,Low,Skilled,4,10,8,8,6,76.2,1
23,Male,4,8,1,76.0,1.5,0,1.75,Middle,Skilled,5,10,4,10,8,73.9,1
22,Male,6,10,1,81.0,2.0,0,1.75,Low,Unemployed,10,10,10,9,6,79.1,1
25,Female,7,7,0,,1.25,0,1.75,Low,Skilled,6,6,7,4,8,75.8,1
22,Male,5,7,1,,1.25,0,2.5,Middle,Professional,9,4,6,10,7,78.0,1
